YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (MW/h),GENERATION (GW/h)
1990,ME,Total Electric Power Industry,Coal,453218,0.453218
1990,ME,Total Electric Power Industry,Hydroelectric Conventional,4090536,4.090536
1990,ME,Total Electric Power Industry,Natural Gas,50786,0.050786
1990,ME,Total Electric Power Industry,Nuclear,4860727,4.860727
1990,ME,Total Electric Power Industry,Other Biomass,360798,0.360798
1990,ME,Total Electric Power Industry,Petroleum,3081100,3.0811
1990,ME,Total Electric Power Industry,Wood and Wood Derived Fuels,3048849,3.048849
1990,MI,Total Electric Power Industry,Total,100059737,100.059737
1990,MI,Total Electric Power Industry,Coal,67066870,67.06687
1990,MI,Total Electric Power Industry,Hydroelectric Conventional,1627918,1.627918
1990,MI,Total Electric Power Industry,Natural Gas,7837956,7.837956
1990,MI,Total Electric Power Industry,Nuclear,21610500,21.6105
1990,MI,Total Electric Power Industry,Other Biomass,310842,0.310842
1990,MI,Total Electric Power Industry,Other Gases,340949,0.340949
1990,MI,Total Electric Power Industry,Petroleum,861725,0.861725
1990,MI,Total Electric Power Industry,Wood and Wood Derived Fuels,1097963,1.097963
1990,MN,Total Electric Power Industry,Total,43070376,43.070376
1990,MN,Total Electric Power Industry,Coal,28176280,28.17628
1990,MN,Total Electric Power Industry,Hydroelectric Conventional,857046,0.857046
1990,MN,Total Electric Power Industry,Natural Gas,539839,0.539839
1990,MN,Total Electric Power Industry,Nuclear,12139302,12.139302
1990,MN,Total Electric Power Industry,Other Biomass,484811,0.484811
1990,MN,Total Electric Power Industry,Petroleum,447814,0.447814
1990,MN,Total Electric Power Industry,Wind,266,0.000266
1990,MN,Total Electric Power Industry,Wood and Wood Derived Fuels,425018,0.425018
1990,MO,Total Electric Power Industry,Total,59352830,59.35283
1990,MO,Total Electric Power Industry,Coal,48796793,48.796793
1990,MO,Total Electric Power Industry,Hydroelectric Conventional,2192115,2.192115
1990,MO,Total Electric Power Industry,Natural Gas,312109,0.312109
1990,MO,Total Electric Power Industry,Nuclear,7998039,7.998039
1990,MO,Total Electric Power Industry,Petroleum,90033,0.090033
1990,MS,Total Electric Power Industry,Total,25201417,25.201417
1990,MS,Total Electric Power Industry,Coal,9526527,9.526527
1990,MS,Total Electric Power Industry,Natural Gas,5919664,5.919664
1990,MS,Total Electric Power Industry,Nuclear,7422131,7.422131
1990,MS,Total Electric Power Industry,Petroleum,738971,0.738971
1990,MS,Total Electric Power Industry,Wood and Wood Derived Fuels,1594124,1.594124
1990,MT,Total Electric Power Industry,Total,26029772,26.029772
1990,MT,Total Electric Power Industry,Coal,15119619,15.119619
1990,MT,Total Electric Power Industry,Hydroelectric Conventional,10716817,10.716817
1990,MT,Total Electric Power Industry,Natural Gas,55255,0.055255
1990,MT,Total Electric Power Industry,Petroleum,28982,0.028982
1990,MT,Total Electric Power Industry,Wind,0,0
1990,MT,Total Electric Power Industry,Wood and Wood Derived Fuels,109099,0.109099
1990,NC,Total Electric Power Industry,Total,84925767,84.925767
1990,NC,Total Electric Power Industry,Coal,49821595,49.821595
1990,NC,Total Electric Power Industry,Hydroelectric Conventional,6819427,6.819427
1990,NC,Total Electric Power Industry,Natural Gas,203465,0.203465
1990,NC,Total Electric Power Industry,Nuclear,25905319,25.905319
1990,NC,Total Electric Power Industry,Other Biomass,26270,0.02627
1990,NC,Total Electric Power Industry,Petroleum,328025,0.328025
1990,NC,Total Electric Power Industry,Wood and Wood Derived Fuels,1438214,1.438214
1990,ND,Total Electric Power Industry,Total,26993261,26.993261
1990,ND,Total Electric Power Industry,Coal,25189003,25.189003
1990,ND,Total Electric Power Industry,Hydroelectric Conventional,1711148,1.711148
1990,ND,Total Electric Power Industry,Natural Gas,51563,0.051563
