a lot
of an achromatic color intermediate between white and black
group
any number of entities (members) considered as a unit
hair
a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
half
one of two equal parts of a divisible whole
hall
an interior passage or corridor onto which rooms open
hand
the (prehensile) extremity of the superior limb
happy
marked by good fortune
hard
resisting weight or pressure
hat
headdress that protects the head from bad weather
he
the 5th letter of the Hebrew alphabet
head
the upper part of the human body or the body in animals
hear
perceive (sound) via the auditory sense
hearing
the ability to hear; the auditory faculty
hello
an expression of greeting
help
give assistance; be of service
here
in or at this place; where the speaker or writer is
hi
an expression of greeting
holiday
leisure time away from work devoted to rest or pleasure
home
where you live at a particular time
homework
preparatory school work done outside school
horse
solid-hoofed herbivorous quadruped domesticated since prehistoric times
hospital
a medical institution where sick or injured people are given medical or surgical care
hot
having a high or higher than desirable temperature
hotel
a building where travelers can pay for lodging and meals and other services
hour
a period of time equal to 1/24th of a day
house
a dwelling that serves as living quarters for a family
hungry
feeling a need or desire to eat food
husband
a male partner in a marriage
ice cream
frozen dessert containing cream and sugar and flavoring
important
significant in effect or meaning
in
to or toward the inside of
inside
relating to or being on the side closer to the center or within a defined space
interesting
catching or holding your attention
internet
a worldwide network of computer networks
invite
ask someone in a friendly way to do something
jacket
a short coat
January
the first month of the year
job
a specific piece of work required to be done as a duty
juice
the liquid part that can be extracted from plant or animal tissue by squeezing or cooking
July
the month following June and preceding August
June
the month following May and preceding July
key
metal device that allows a lock's mechanism to be rotated
kick
drive or propel with the foot
kind
having a tender and considerate and helpful nature
kitchen
a room equipped for preparing meals
knife
edge tool used as a cutting instrument
know
be cognizant or aware of a fact or a piece of information
language
a means of communicating by the use of sounds or symbols
last
coming after all others in time or space or degree or being the only one remaining
late
at or toward an end or late period or stage of development
later
happening at a time subsequent to a reference time
learn
gain knowledge or skills
leave
go away from a place
leg
a human limb
lesson
the significance of a story or event
letter
a written message addressed to a person or organization
life
the organic phenomenon that distinguishes living organisms
light
electromagnetic radiation that can produce visual sensation
like
having the same or similar characteristics
listen
hear with intention
little
limited or below average in number or quantity or magnitude
live
"have life, be alive"
long
primarily spatial sense
look
perceive with attention; direct one's gaze towards
lot
anything (straws or pebbles etc.) taken or chosen at random
love
a strong positive emotion of regard and affection
lunch
a midday meal
mail
the bags of letters and packages that are transported by the postal service
make
perform or carry out
man
an adult person who is male (as opposed to a woman)
many
amounting to a large but indefinite number
March
the month following February and preceding April
May
the month following April and preceding June
a lot
to a very great degree or extent
meal
any of the occasions for eating food that occur by custom or habit at more or less fixed times
meat
the flesh of animals used as food
meet
come together
message
a communication that is written or spoken or signaled
milk
a white nutritious liquid secreted by mammals and used as food by human beings
minute
a unit of time equal to 60 seconds or 1/60th of an hour
Miss
a form of address for an unmarried woman
mobile
moving or capable of moving readily
mobile phone
"a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver"
mom
informal terms for a mother
Monday
the second day of the week; the first working day
money
the most common medium of exchange
month
one of the twelve divisions of the calendar year
more
greater in size or amount or extent or degree
morning
the time period between dawn and noon
mother
a woman who has given birth to a child
mouth
the opening through which food is taken in
movie
a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
Mr
a form of address for a man
Mrs
a form of address for a married woman
much
great in quantity or degree or extent
mum
failing to speak or communicate etc when expected to
museum
a building for collecting and displaying valuable objects
music
an artistic form of auditory communication
name
a language unit by which a person or thing is known
near
near in time or place or relationship
need
require or want
never
not ever; at no time in the past or future
new
not of long duration
newspaper
a daily or weekly publication on folded sheets
next
immediately following in time or order
nice
pleasant or pleasing or agreeable in nature or appearance
night
the time after sunset and before sunrise while it is dark outside
no
quantifier
noise
sound of any kind
nose
the organ of smell and entrance to the respiratory tract
not
negation of a word or group of words
note
a brief written record
November
the month following October and preceding December
now
at the present moment
number
a concept of quantity involving zero and units
October
the month following September and preceding November
of course
as might be expected
often
many times at short intervals
OK
an expression of agreement normally occurring at the beginning of a sentence
old
having lived for a long time or attained a specific age
on
in a state required for something to function or be effective
one
smallest whole number or a numeral representing this number
only
without any others being included or involved
open
affording free passage or access
orange
any citrus tree bearing oranges
other
not the same one or ones already mentioned or implied
outside
the region that is outside of something
p.m.
after noon
page
one side of one leaf of a book or other document
paint
a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
pair
a set of two similar things considered as a unit
paper
a material made of cellulose pulp derived mainly from wood or rags or certain grasses
parent
a father or mother
park
a piece of open land for recreational use in an urban area
part
one of the portions into which something is regarded as divided and which together constitute a whole
party
an occasion on which people gather to socialize and have fun
pay
"give money, usually in exchange for goods or services"
pen
a writing implement with a point from which ink flows
pencil
a thin cylindrical pointed writing implement
people
any group of human beings collectively
person
a human being
pet
a domesticated animal kept for companionship or amusement
phone
electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear
picture
a visual representation produced on a surface
pig
domestic swine
place
a point located with respect to surface features of a region
plane
an unbounded two-dimensional shape
plant
a living organism without the power to move
plate
dish on which food is served or from which food is eaten
play
engage in recreational activities rather than work
player
a person who participates in or is skilled at some game
please
used in polite request
poor
having little money or few possessions
possible
capable of happening or existing
potato
an edible tuber native to South America
practise
learn by repetition
present
happening or existing now
put
cause to be in a certain state
quarter
one of four equal parts
question
a sentence of inquiry that asks for a reply
quick
moving rapidly and lightly
radio
medium for communication
rain
water falling in drops from vapor in the atmosphere
read
look at and say out loud something written or printed
reading
written material intended to be read
ready
completely prepared or in condition for immediate action or use or progress
really
in actual fact
red
the chromatic color resembling the hue of blood
refrigerator
appliance in which food can be stored at low temperatures
remember
recall knowledge; have a recollection
restaurant
a building where people go to eat
rice
annual or perennial rhizomatous marsh grasses
ride
"sit and travel on the back of animal, usually while controlling its motions"
right
free from error; especially conforming to fact or truth
river
a large natural stream of water (larger than a creek)
road
an open way (generally public) for travel or transportation
room
an area within a building enclosed by walls and floor and ceiling
run
move fast by using one's feet
sad
experiencing or showing sorrow or unhappiness
safe
free from danger or the risk of harm
salt
white crystalline form of especially sodium chloride used to season and preserve food
same
same in identity
Saturday
the seventh and last day of the week
say
utter aloud
school
an educational institution
sea
a large body of salt water partially enclosed by land
second
coming next after the first in position in space or time
see
perceive by sight or have the power to perceive by sight
send
cause to go somewhere
sentence
a string of words satisfying grammatical rules of a language
September
the month following August and preceding October
telephone
electronic equipment that transmits sound over distances
sheep
woolly usually horned ruminant mammal related to the goat
shirt
a garment worn on the upper half of the body
shoe
footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
shop
a mercantile establishment for the retail sale of goods or services
shopping
searching for or buying goods or services
short
having little length or lacking in length
show
make visible or noticeable
shower
a brief period of precipitation
sing
produce tones with the voice
sister
a female person who has the same parents as another person
sit
take a seat
site
the piece of land on which something is located
skirt
a garment hanging from the waist
sleep
a natural and periodic state of rest
slow
not moving quickly; taking a comparatively long time
small
limited or below average in number or quantity or magnitude
smoke
a cloud of fine particles suspended in a gas
smoking
the act of smoking tobacco or other substances
snow
precipitation falling from clouds in the form of ice crystals
some
quantifier
sometimes
on certain occasions or in certain cases but not always
son
a male human offspring
soon
in the near future
sorry
feeling or expressing regret
soup
liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
speak
use language
sport
active diversion requiring physical exertion and competition
start
take the first step or steps in carrying out an action
station
a facility equipped with special equipment and personnel
stay
"continue in a place, position, or situation"
stop
"have an end, in a temporal, spatial, or quantitative sense"
street
a thoroughfare that is lined with buildings
student
a learner who is enrolled in an educational institution
study
applying the mind to learning and understanding a subject
subject
some situation or event that is thought about
sugar
a white crystalline carbohydrate used as a sweetener
summer
the warmest season of the year
sun
the star that is the source of light and heat for the planets in the solar system
Sunday
first day of the week
supermarket
a large self-service grocery store selling groceries and dairy products and household goods
sweet
having or denoting the characteristic taste of sugar
swim
travel through water
swimming pool
pool that provides a facility for swimming
table
furniture having a smooth flat top supported by legs
take
get into one's hands
talk
use language
tall
great in vertical dimension; high in stature
taxi
a car that is hired to take passengers where they want to go
tea
the name of tea in various languages
teach
impart skills or knowledge to
teacher
a person whose occupation is instructing
teaching
the activities of educating or instructing
television
an electronic device that receives television signals and displays them on a screen
tell
narrate or give a detailed account of
test
standardized procedure for measuring sensitivity or aptitude
thank you
a conversational expression of gratitude
then
at that time
there
in or at that place
thing
a separate and self-contained entity
think
judge or regard; look upon; judge
Thursday
the fifth day of the week; the fourth working day
ticket
a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)
until now
used in negative statement to describe a situation that has existed up to this point or up to the present time
time
the continuum of experience in which events pass to the past
tired
depleted of strength or energy
today
on this day as distinct from yesterday or tomorrow
together
in contact with each other or in proximity
toilet
a plumbing fixture for defecation and urination
tomato
mildly acid red or yellow pulpy fruit eaten as a vegetable
tomorrow
the day after today
tonight
during the night of the present day
too
to a degree exceeding normal or proper limits
tooth
hard bonelike structures in the jaws of vertebrates
town
an urban area with a fixed boundary that is smaller than a city
train
educate for a future role or function
travel
change location
tree
a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Tuesday
the third day of the week; the second working day
under
below some quantity or limit
understand
know and comprehend the nature or meaning of
university
an institution of higher learning that grants degrees
up
spatially or metaphorically from a lower to a higher position
use
put into service
vacation
leisure time away from work devoted to rest or pleasure
vegetable
any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower
very
being the exact same one; not any other:
village
a settlement smaller than a town
visit
the act of going to see some person or place or thing for a short time
wait
stay in one place and anticipate or expect something
waiter
a person whose occupation is to serve at table
wake up
stop sleeping
walk
use one's feet to advance; advance by steps
wall
an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
want
the state of needing something that is absent or unavailable
warm
having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat
wash
clean with some chemical process
watch
look attentively
water
compound that occurs at room temperature as a clear liquid
waitress
a woman waiter
wear
put clothing on one's body
weather
atmospheric conditions such as temperature and precipitation
website
a set of pages on the internet organized as a single unit
Wednesday
the fourth day of the week; the third working day
week
any period of seven consecutive days
weekend
a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
well
indicating high probability; in all likelihood
white
being of the achromatic color of maximum lightness
why
"the cause or intention underlying an action or situation, especially in the phrase `the whys and wherefores'"
wife
a married woman; a partner in marriage
wind
air moving from high pressure to low pressure
window
a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
wine
fermented juice (of grapes especially)
winter
the coldest season of the year
woman
an adult female person
word
a unit of language that native speakers can identify
work
activity directed toward making or doing something
world
the 3rd planet from the sun; the planet we live on
write
name the letters that comprise the accepted form of
writing
symbols imprinted on a surface to represent sounds or words
wrong
not correct; not in conformity with fact or truth
year
"the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun"
yellow
yellow color or pigment
yes
an affirmative
yesterday
the day immediately before today
young
any immature animal
